,Review_Date,Review_Title,Review_paragraph,User_Rating,website,polarity,segment
0, 1 week ago ,Delicious eats,i realli love restaur i visit twice part gadventur tour went back one tour finish the food three occas delici i enjoy chicken lababdar tikka paneer all,5,/ShowUserReviews-g304551-d13388460-r745257745-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,0.07500000000000001,Positive
1, 1 week ago ,Amazing place!,thi absolut hidden gem the place realli well decor modern simpl the food outstand servic great the idea behind restaur equal impress teach young adult skill go hospit,5,/ShowUserReviews-g304551-d13388460-r744340449-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,0.09047619047619047,Positive
2, 3 weeks ago ,"Really good menu, tasty food",realli good menu tasti food great servic when stay karol bagh make sure stop love meal,5,/ShowUserReviews-g304551-d13388460-r741464580-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,0.625,Most-Positive
3, 4 weeks ago ,Great choice of dishes in lovely environment ,excel menu vegetarian meat choic pleasant environ good servic all meal tasti good portion size would highli recommend support worthwhil enterpris,5,/ShowUserReviews-g304551-d13388460-r740572591-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,0.7111111111111109,Most-Positive
4, 4 weeks ago ,Great food and service,enjoy 2 meal stay new delhi menu great varieti food drink veri clean great servic,5,/ShowUserReviews-g304551-d13388460-r740377249-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,0.5006060606060606,Most-Positive
5, 4 weeks ago ,Food was excellent!,food excel dine time india food servic excel would highli recommend,5,/ShowUserReviews-g304551-d13388460-r739974235-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,0.0,Neutral
6, 16 January 2020 ,Delecious food ..,we start drink larg select smoothi shake lassi juic freshli prepar art present our food choic made good select tradit indian vegetarian non vegetarian dish well salad chines continent dish the,5,/ShowUserReviews-g304551-d13388460-r739436153-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,0.35,Positive
7, 14 January 2020 ,A little gem,we call drink return even meal like atmospher look menu in fact like much return even 4 night stay delhi good straightforward meat,5,/ShowUserReviews-g304551-d13388460-r739138253-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,0.425,Positive
8, 14 January 2020 ,Well worth a visit,just land trip varanasi thought i would tri place near hotel highli rate order tandoori platter fish lamb total superb intern drink reason price compar taj hotel least around 2 jw,5,/ShowUserReviews-g304551-d13388460-r739111120-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,0.2,Positive
9, 13 January 2020 ,Excellant restaurant with charitable intentions,a charm relax restaur good food well price the servic excel i ate part group solo twice felt perfectli relax look everi time love food cocktail desir,5,/ShowUserReviews-g304551-d13388460-r738902266-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,0.6,Most-Positive
